event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.144222051,0.188054833,0.276586334,0.13453624,0.175608415,0.243515913
2,0.161245155,0.178695161,0.215870331,0.219317122,0.237302817,0.262488095
2,0.178885438,0.247072345,0.292061637,0.205182845,0.246064654,0.318904374
4,0.197989899,0.252509291,0.319061123,0.20808652,0.230466432,0.246981781
2,0.162788206,0.174609268,0.197989899,0.17691806,0.200937658,0.234093998
1,0.17691806,0.225296076,0.262488095,0.233452351,0.292882837,0.408166633
4,0.216333077,0.2681157,0.337342556,0.240831892,0.252144763,0.272946881
1,0.16,0.208792221,0.27202941,0.246981781,0.296535238,0.354400903
2,0.206155281,0.235132548,0.260768096,0.174642492,0.191344419,0.219317122
1,0.212132034,0.266764281,0.347131099,0.161554944,0.241772236,0.306104557
1,0.219317122,0.221313896,0.224722051,0.252388589,0.269956944,0.286530976
4,0.224722051,0.239059356,0.274590604,0.313049517,0.328565551,0.348855271
4,0.228254244,0.258396429,0.317804972,0.26925824,0.325514999,0.449444101
2,0.194164878,0.233299097,0.308706981,0.326496554,0.359458132,0.444072066
1,0.23430749,0.245639887,0.254950976,0.34176015,0.423215931,0.516623654
2,0.161245155,0.216615964,0.247588368,0.380131556,0.393802644,0.412310563
1,0.21023796,0.219536528,0.228035085,0.353411941,0.381917915,0.430116263
2,0.20808652,0.213513179,0.228035085,0.384707681,0.397636775,0.416173041
1,0.214009346,0.225138166,0.236008474,0.391152144,0.450464859,0.504777179
2,0.222036033,0.229639643,0.242074369,0.472016949,0.483619683,0.494064773
2,0.220227155,0.223384297,0.236008474,0.480104155,0.508797844,0.535350353
2,0.216333077,0.221977,0.226715681,0.478852796,0.514637271,0.540832691
1,0.21023796,0.220633925,0.246981781,0.403112887,0.444891955,0.478539445
2,0.178044938,0.189737532,0.21023796,0.351140997,0.366518583,0.403112887
1,0.183847763,0.218558871,0.26,0.294108823,0.320156067,0.345398321
2,0.165529454,0.188640925,0.21023796,0.27202941,0.287945965,0.30016662
